Energy Use Record Name,Carbon Footprint Name,Organization Asset,Asset Contact,Allocated Renewable Energy (kWh),Cooling Consumption,Cooling Unit,Diesel Consumption,Diesel Unit,Electricity Consumption,Electricity Unit,Electricity Emission Factors,Heat Consumption,Heat Unit,Natural Gas Consumption,Natural Gas Unit,Fuel Oil Consumption,Fuel Oil Unit,Steam Consumption,Steam Unit,Emission Conversion Factors,Energy Contract,Energy Service Provider,Carbon Inventory Date,Record Type,Report End Date,Report Start Date,Refrigerant GWP Factor,Renewable Energy Project Type
SF Tower - Oct2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,100000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,10/31/19,10/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Sep2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,100000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,9/30/19,9/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Jul2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,7/31/19,7/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Jun2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,150000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,6/30/19,6/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Aug2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,8/31/19,8/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Nov2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,11/30/19,11/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Feb2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,10000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,2/28/19,2/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Apr2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,100000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,4/30/19,4/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Mar2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,100000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,3/31/19,3/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - Dec2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,12/31/19,12/1/19,HCFC-142b - 2018 revision,Geothermal
