Organization Asset,Asset Contact,Sustainability Asset,Sustainability Contact
Bremington Commons,Bobby Bonilla,a011F00000CfrBjQAJ,a041F000003efu9QAA
Gulf Stream G550 N133PX,Bobby Bonilla,a011F00000CfrDDQAZ,a041F000003efu9QAA
Gulf Stream G650ER N498AW,Bobby Bonilla,a011F00000CfrDCQAZ,a041F000003efu9QAA
RDC-Cedar Data Center,Bobby Bonilla,a011F00000CfrBmQAJ,a041F000003efu9QAA
RDC-Narita Data Center,Bobby Bonilla,a011F00000CfrBnQAJ,a041F000003efu9QAA
Salesforce Tower,Bobby Bonilla,a011F00000CfrBfQAJ,a041F000003efu9QAA
WMDV Square North,Bobby Bonilla,a011F00000CfrBlQAJ,a041F000003efu9QAA
Business Travel FY19 - Africa,JR Marseli,a011F00000CfrElQAJ,a041F000003efuBQAQ
Business Travel FY19 - APAC,JR Marseli,a011F00000CfrEoQAJ,a041F000003efuBQAQ
Business Travel FY19 - EMEA,JR Marseli,a011F00000CfrEiQAJ,a041F000003efuBQAQ
Business Travel FY20 - AMER,JR Marseli,a011F00000CfrEjQAJ,a041F000003efuBQAQ
Business Travel FY20 - ANZ,JR Marseli,a011F00000CfrEmQAJ,a041F000003efuBQAQ
Business Travel FY20 - SA,JR Marseli,a011F00000CfrEpQAJ,a041F000003efuBQAQ
Business Travel FY21 - AMER,JR Marseli,a011F00000CfrEqQAJ,a041F000003efuBQAQ
Business Travel FY21 - LATAM,JR Marseli,a011F00000CfrEkQAJ,a041F000003efuBQAQ
Business Travel FY21 - ME,JR Marseli,a011F00000CfrEnQAJ,a041F000003efuBQAQ
140 Mission St,Sonali Agarwhal,a011F00000CfrBgQAJ,a041F000003efuAQAQ
499 Centennial Pkwy,Sonali Agarwhal,a011F00000CfrBhQAJ,a041F000003efuAQAQ
940 14th St #290,Sonali Agarwhal,a011F00000CfrBiQAJ,a041F000003efuAQAQ
ANZ Company Cars,Sonali Agarwhal,a011F00000CfrDFQAZ,a041F000003efuAQAQ
Company Shuttle #2,Sonali Agarwhal,a011F00000CfrDBQAZ,a041F000003efuAQAQ
Company Shuttle #4,Sonali Agarwhal,a011F00000CfrDEQAZ,a041F000003efuAQAQ
Longs Tower East,Sonali Agarwhal,a011F00000CfrBkQAJ,a041F000003efuAQAQ
